Date,Machine_ID,Retailer_ID,Terminal_ID,termType,Chain_ID,TMID,Location_City,Zip,Scratchers_Sales,Out_of_Stock__
7/1/2019,10488_2,10488,2,PHD,8128,101,A,86880,685,0.0623
7/1/2019,10504_2,10504,2,PHD,8128,101,A,86883,423,0
7/1/2019,11198_2,11198,2,PHD,8052,302,B,85965,804,0
7/1/2019,11800_3,11800,3,PHD,9849,209,C,85998,1360,0
7/1/2019,11847_4,11847,4,PHD,0,107,C,85998,592,0.0747
7/1/2019,12795_3,12795,3,PHD,0,209,C,85998,1127,0.0073
7/1/2019,14881_2,14881,2,PHD,8128,302,B,85965,975,0.0178
7/1/2019,15155_3,15155,3,PHD,0,107,C,85999,640,0.1682
7/1/2019,15159_2,15159,2,PHD,8052,209,C,85998,1048,0.0889
7/1/2019,15159_3,15159,3,PHD,8052,209,C,85998,1656,0.0386
7/1/2019,15384_2,15384,2,PHD-LP,8022,101,A,86883,312,0.0625
7/1/2019,15490_2,15490,2,PHD,0,101,A,86884,347,0.0206
7/1/2019,16570_2,16570,2,PHD,8011,101,A,86881,544,0
7/1/2019,18192_3,18192,3,PHD,8128,209,C,85999,1173,0.0534
7/1/2019,35016_2,35016,2,PHD,8011,107,C,85997,1845,0.0001
7/1/2019,40212_2,40212,2,PHD,8128,101,A,86883,713,0.0267
7/1/2019,45189_3,45189,3,PHD,8128,101,A,86883,223,0.023
7/1/2019,52290_3,52290,3,PHD,8052,101,A,86880,596,0.0172
7/1/2019,61747_3,61747,3,PHD,8011,101,A,86880,336,0.01
7/1/2019,65637_2,65637,2,PHD-LP,8022,101,A,86880,0,1
7/1/2019,65765_2,65765,2,PHD-LP,8022,302,B,85965,0,1
7/1/2019,65783_2,65783,2,PHD,0,209,C,85999,43,0
7/1/2019,65815_3,65815,3,PHD-LP,8022,209,C,85999,0,0
7/2/2019,10488_2,10488,2,PHD,8128,101,A,86880,851,0.0127
7/2/2019,10504_2,10504,2,PHD,8128,101,A,86883,676,0
7/2/2019,11198_2,11198,2,PHD,8052,302,B,85965,513,0
7/2/2019,11800_3,11800,3,PHD,9849,209,C,85998,855,0.0208
7/2/2019,11847_4,11847,4,PHD,0,107,C,85998,607,0.0461
7/2/2019,12795_3,12795,3,PHD,0,209,C,85998,733,0.0021
7/2/2019,14881_2,14881,2,PHD,8128,302,B,85965,920,0.0359
7/2/2019,15155_3,15155,3,PHD,0,107,C,85999,976,0.0845
7/2/2019,15159_2,15159,2,PHD,8052,209,C,85998,1156,0.0173
7/2/2019,15159_3,15159,3,PHD,8052,209,C,85998,1334,0.0462
7/2/2019,15384_2,15384,2,PHD-LP,8022,101,A,86883,207,0.0625
7/2/2019,15490_2,15490,2,PHD,0,101,A,86884,405,0.0069
7/2/2019,16570_2,16570,2,PHD,8011,101,A,86881,596,0.0003
7/2/2019,18192_3,18192,3,PHD,8128,209,C,85999,1263,0.0833
7/2/2019,35016_2,35016,2,PHD,8011,107,C,85997,1260,0.0041
7/2/2019,40212_2,40212,2,PHD,8128,101,A,86883,615,0.0175
7/2/2019,45189_3,45189,3,PHD,8128,101,A,86883,136,0.0833
7/2/2019,52290_3,52290,3,PHD,8052,101,A,86880,332,0
7/2/2019,61747_3,61747,3,PHD,8011,101,A,86880,492,0.0063
7/2/2019,65637_2,65637,2,PHD-LP,8022,101,A,86880,0,1
7/2/2019,65765_2,65765,2,PHD-LP,8022,302,B,85965,0,1
7/2/2019,65783_2,65783,2,PHD,0,209,C,85999,15,0
7/2/2019,65815_3,65815,3,PHD-LP,8022,209,C,85999,0,0
7/3/2019,10488_2,10488,2,PHD,8128,101,A,86880,1461,0.0186
7/3/2019,10504_2,10504,2,PHD,8128,101,A,86883,739,0
7/3/2019,11198_2,11198,2,PHD,8052,302,B,85965,1511,0
7/3/2019,11800_3,11800,3,PHD,9849,209,C,85998,1427,0.1013
7/3/2019,11847_4,11847,4,PHD,0,107,C,85998,674,0.0332
7/3/2019,12795_3,12795,3,PHD,0,209,C,85998,1029,0.0026
7/3/2019,14881_2,14881,2,PHD,8128,302,B,85965,783,0.051
7/3/2019,15155_3,15155,3,PHD,0,107,C,85999,1150,0.0276
7/3/2019,15159_2,15159,2,PHD,8052,209,C,85998,1369,0.0206
7/3/2019,15159_3,15159,3,PHD,8052,209,C,85998,1769,0.0593
7/3/2019,15384_2,15384,2,PHD-LP,8022,101,A,86883,336,0.1097
7/3/2019,15490_2,15490,2,PHD,0,101,A,86884,817,0.0076
7/3/2019,16570_2,16570,2,PHD,8011,101,A,86881,470,0.0016
7/3/2019,18192_3,18192,3,PHD,8128,209,C,85999,1719,0.1192
7/3/2019,35016_2,35016,2,PHD,8011,107,C,85997,2240,0.0098
7/3/2019,40212_2,40212,2,PHD,8128,101,A,86883,939,0.0433
7/3/2019,45189_3,45189,3,PHD,8128,101,A,86883,540,0.0833
7/3/2019,52290_3,52290,3,PHD,8052,101,A,86880,1075,0.0238
7/3/2019,61747_3,61747,3,PHD,8011,101,A,86880,572,0.0111
7/3/2019,65637_2,65637,2,PHD-LP,8022,101,A,86880,0,1
7/3/2019,65765_2,65765,2,PHD-LP,8022,302,B,85965,0,1
7/3/2019,65783_2,65783,2,PHD,0,209,C,85999,5,0
7/3/2019,65815_3,65815,3,PHD-LP,8022,209,C,85999,0,0
7/4/2019,10488_2,10488,2,PHD,8128,101,A,86880,790,0.0322
7/4/2019,10504_2,10504,2,PHD,8128,101,A,86883,798,0.0282
7/4/2019,11198_2,11198,2,PHD,8052,302,B,85965,931,0
7/4/2019,11800_3,11800,3,PHD,9849,209,C,85998,1386,0.0796
7/4/2019,11847_4,11847,4,PHD,0,107,C,85998,476,0.0173
7/4/2019,12795_3,12795,3,PHD,0,209,C,85998,1211,0.0277
7/4/2019,14881_2,14881,2,PHD,8128,302,B,85965,593,0.0177
7/4/2019,15155_3,15155,3,PHD,0,107,C,85999,847,0.0261
7/4/2019,15159_2,15159,2,PHD,8052,209,C,85998,2012,0.0167
7/4/2019,15159_3,15159,3,PHD,8052,209,C,85998,898,0.0173
7/4/2019,15384_2,15384,2,PHD-LP,8022,101,A,86883,102,0.1875
7/4/2019,15490_2,15490,2,PHD,0,101,A,86884,642,0.0417
7/4/2019,16570_2,16570,2,PHD,8011,101,A,86881,380,0
7/4/2019,18192_3,18192,3,PHD,8128,209,C,85999,1107,0.0669
7/4/2019,35016_2,35016,2,PHD,8011,107,C,85997,1419,0.0001
7/4/2019,40212_2,40212,2,PHD,8128,101,A,86883,697,0.0515
7/4/2019,45189_3,45189,3,PHD,8128,101,A,86883,566,0.0329
7/4/2019,52290_3,52290,3,PHD,8052,101,A,86880,820,0.0454
7/4/2019,61747_3,61747,3,PHD,8011,101,A,86880,488,0.0221
7/4/2019,65637_2,65637,2,PHD-LP,8022,101,A,86880,0,1
7/4/2019,65765_2,65765,2,PHD-LP,8022,302,B,85965,0,1
7/4/2019,65783_2,65783,2,PHD,0,209,C,85999,60,0
7/4/2019,65815_3,65815,3,PHD-LP,8022,209,C,85999,0,0
7/5/2019,10488_2,10488,2,PHD,8128,101,A,86880,1179,0.042
7/5/2019,10504_2,10504,2,PHD,8128,101,A,86883,496,0.0348
7/5/2019,11198_2,11198,2,PHD,8052,302,B,85965,1308,0
7/5/2019,11800_3,11800,3,PHD,9849,209,C,85998,1152,0.1442
7/5/2019,11847_4,11847,4,PHD,0,107,C,85998,591,0.0132
7/5/2019,12795_3,12795,3,PHD,0,209,C,85998,1246,0.0119
7/5/2019,14881_2,14881,2,PHD,8128,302,B,85965,682,0.0128
7/5/2019,15155_3,15155,3,PHD,0,107,C,85999,921,0.0417
7/5/2019,15159_2,15159,2,PHD,8052,209,C,85998,1360,0.0183
7/5/2019,15159_3,15159,3,PHD,8052,209,C,85998,1640,0
7/5/2019,15384_2,15384,2,PHD-LP,8022,101,A,86883,83,0.2124
7/5/2019,15490_2,15490,2,PHD,0,101,A,86884,339,0.0222
7/5/2019,16570_2,16570,2,PHD,8011,101,A,86881,416,0.0004
7/5/2019,18192_3,18192,3,PHD,8128,209,C,85999,1610,0.0322
7/5/2019,35016_2,35016,2,PHD,8011,107,C,85997,1303,0.0001
7/5/2019,40212_2,40212,2,PHD,8128,101,A,86883,719,0.0498
7/5/2019,45189_3,45189,3,PHD,8128,101,A,86883,419,0.0417
7/5/2019,52290_3,52290,3,PHD,8052,101,A,86880,677,0.048
7/5/2019,61747_3,61747,3,PHD,8011,101,A,86880,588,0.0722
7/5/2019,65637_2,65637,2,PHD-LP,8022,101,A,86880,0,1
7/5/2019,65765_2,65765,2,PHD-LP,8022,302,B,85965,0,1
7/5/2019,65783_2,65783,2,PHD,0,209,C,85999,20,0
7/5/2019,65815_3,65815,3,PHD-LP,8022,209,C,85999,0,0
7/6/2019,10488_2,10488,2,PHD,8128,101,A,86880,668,0.14
7/6/2019,10504_2,10504,2,PHD,8128,101,A,86883,500,0.0417
7/6/2019,11198_2,11198,2,PHD,8052,302,B,85965,858,0.0002
7/6/2019,11800_3,11800,3,PHD,9849,209,C,85998,1370,0.1047
7/6/2019,11847_4,11847,4,PHD,0,107,C,85998,515,0
7/6/2019,12795_3,12795,3,PHD,0,209,C,85998,2152,0.0111
7/6/2019,14881_2,14881,2,PHD,8128,302,B,85965,827,0.0164
7/6/2019,15155_3,15155,3,PHD,0,107,C,85999,779,0.0261
7/6/2019,15159_2,15159,2,PHD,8052,209,C,85998,1691,0.0326
7/6/2019,15159_3,15159,3,PHD,8052,209,C,85998,1290,0.0334
7/6/2019,15384_2,15384,2,PHD-LP,8022,101,A,86883,0,0.25
7/6/2019,15490_2,15490,2,PHD,0,101,A,86884,479,0.0417
7/6/2019,16570_2,16570,2,PHD,8011,101,A,86881,248,0
7/6/2019,18192_3,18192,3,PHD,8128,209,C,85999,530,0.0401
7/6/2019,35016_2,35016,2,PHD,8011,107,C,85997,1629,0
7/6/2019,40212_2,40212,2,PHD,8128,101,A,86883,759,0.0764
7/6/2019,45189_3,45189,3,PHD,8128,101,A,86883,123,0.057
7/6/2019,52290_3,52290,3,PHD,8052,101,A,86880,594,0.068
7/6/2019,61747_3,61747,3,PHD,8011,101,A,86880,348,0.0891
7/6/2019,65637_2,65637,2,PHD-LP,8022,101,A,86880,0,1
7/6/2019,65765_2,65765,2,PHD-LP,8022,302,B,85965,0,1
7/6/2019,65783_2,65783,2,PHD,0,209,C,85999,92,0
7/6/2019,65815_3,65815,3,PHD-LP,8022,209,C,85999,0,0
7/7/2019,10488_2,10488,2,PHD,8128,101,A,86880,701,0.0639
7/7/2019,10504_2,10504,2,PHD,8128,101,A,86883,459,0.0139
7/7/2019,11198_2,11198,2,PHD,8052,302,B,85965,684,0
7/7/2019,11800_3,11800,3,PHD,9849,209,C,85998,609,0.0915
7/7/2019,11847_4,11847,4,PHD,0,107,C,85998,357,0.0282
7/7/2019,12795_3,12795,3,PHD,0,209,C,85998,543,0.0211
7/7/2019,14881_2,14881,2,PHD,8128,302,B,85965,441,0.0117
7/7/2019,15155_3,15155,3,PHD,0,107,C,85999,1166,0.0168
7/7/2019,15159_2,15159,2,PHD,8052,209,C,85998,1276,0.008
7/7/2019,15159_3,15159,3,PHD,8052,209,C,85998,1984,0.0061
7/7/2019,15384_2,15384,2,PHD-LP,8022,101,A,86883,140,0.2634
7/7/2019,15490_2,15490,2,PHD,0,101,A,86884,204,0.0355
7/7/2019,16570_2,16570,2,PHD,8011,101,A,86881,484,0
7/7/2019,18192_3,18192,3,PHD,8128,209,C,85999,919,0.031
7/7/2019,35016_2,35016,2,PHD,8011,107,C,85997,1154,0
7/7/2019,40212_2,40212,2,PHD,8128,101,A,86883,1198,0.0533
7/7/2019,45189_3,45189,3,PHD,8128,101,A,86883,774,0.0222
7/7/2019,52290_3,52290,3,PHD,8052,101,A,86880,738,0.0262
7/7/2019,61747_3,61747,3,PHD,8011,101,A,86880,325,0.0414
7/7/2019,65637_2,65637,2,PHD-LP,8022,101,A,86880,0,1
7/7/2019,65765_2,65765,2,PHD-LP,8022,302,B,85965,0,1
7/7/2019,65783_2,65783,2,PHD,0,209,C,85999,54,0
7/7/2019,65815_3,65815,3,PHD-LP,8022,209,C,85999,0,0
7/8/2019,10488_2,10488,2,PHD,8128,101,A,86880,541,0.042
